楷档,岿,备,蜡悼牢备(父)
2017,1,蜡己备,141
2017,2,蜡己备,150
2017,3,蜡己备,168
2017,4,蜡己备,191
2017,5,蜡己备,176
2017,6,蜡己备,191
2017,7,蜡己备,180
2017,8,蜡己备,188
2017,9,蜡己备,208
2017,10,蜡己备,180
2017,11,蜡己备,182
2017,12,蜡己备,173
2018,1,蜡己备,146
2018,2,蜡己备,150
2018,3,蜡己备,191
2018,4,蜡己备,205
2018,5,蜡己备,208
2018,6,蜡己备,199
2018,7,蜡己备,178
2018,8,蜡己备,175
2018,9,蜡己备,182
2018,10,蜡己备,188
2017,1,辑备,139
2017,2,辑备,149
2017,3,辑备,153
2017,4,辑备,169
2017,5,辑备,157
2017,6,辑备,171
2017,7,辑备,166
2017,8,辑备,170
2017,9,辑备,181
2017,10,辑备,157
2017,11,辑备,162
2017,12,辑备,177
2018,1,辑备,134
2018,2,辑备,137
2018,3,辑备,155
2018,4,辑备,166
2018,5,辑备,169
2018,6,辑备,164
2018,7,辑备,152
2018,8,辑备,152
2018,9,辑备,150
2018,10,辑备,156
2017,1,吝备,72
2017,2,吝备,75
2017,3,吝备,79
2017,4,吝备,90
2017,5,吝备,85
2017,6,吝备,93
2017,7,吝备,88
2017,8,吝备,88
2017,9,吝备,93
2017,10,吝备,83
2017,11,吝备,81
2017,12,吝备,95
2018,1,吝备,68
2018,2,吝备,72
2018,3,吝备,84
2018,4,吝备,90
2018,5,吝备,93
2018,6,吝备,90
2018,7,吝备,79
2018,8,吝备,79
2018,9,吝备,82
2018,10,吝备,77
2017,1,悼备,69
2017,2,悼备,72
2017,3,悼备,74
2017,4,悼备,85
2017,5,悼备,80
2017,6,悼备,85
2017,7,悼备,84
2017,8,悼备,88
2017,9,悼备,92
2017,10,悼备,85
2017,11,悼备,81
2017,12,悼备,83
2018,1,悼备,70
2018,2,悼备,75
2018,3,悼备,87
2018,4,悼备,91
2018,5,悼备,90
2018,6,悼备,87
2018,7,悼备,78
2018,8,悼备,80
2018,9,悼备,84
2018,10,悼备,82
2017,1,措傣备,73
2017,2,措傣备,78
2017,3,措傣备,80
2017,4,措傣备,92
2017,5,措傣备,86
2017,6,措傣备,88
2017,7,措傣备,88
2017,8,措傣备,91
2017,9,措傣备,96
2017,10,措傣备,86
2017,11,措傣备,82
2017,12,措傣备,89
2018,1,措傣备,65
2018,2,措傣备,68
2018,3,措傣备,85
2018,4,措傣备,94
2018,5,措傣备,97
2018,6,措傣备,93
2018,7,措傣备,83
2018,8,措傣备,83
2018,9,措傣备,86
2018,10,措傣备,86
